gene_id	module_no	colors
ENSG00000117010	2	blue
ENSG00000117013	1	turquoise
ENSG00000117016	12	tan
ENSG00000117020	1	turquoise
ENSG00000117036	9	magenta
ENSG00000117054	4	yellow
ENSG00000117069	1	turquoise
ENSG00000117090	5	green
ENSG00000117091	2	blue
ENSG00000117114	1	turquoise
ENSG00000117115	4	yellow
ENSG00000117118	2	blue
ENSG00000117122	1	turquoise
ENSG00000117133	3	brown
ENSG00000117139	9	magenta
ENSG00000117143	2	blue
ENSG00000117151	2	blue
ENSG00000117152	26	darkorange
ENSG00000117153	13	salmon
ENSG00000117155	1	turquoise
ENSG00000117174	1	turquoise
ENSG00000117215	4	yellow
ENSG00000117222	1	turquoise
ENSG00000117226	2	blue
ENSG00000117228	6	red
ENSG00000117242	1	turquoise
ENSG00000117245	3	brown
ENSG00000117262	3	brown
ENSG00000117266	28	skyblue
ENSG00000117280	1	turquoise
ENSG00000117281	4	yellow
ENSG00000117298	19	lightyellow
ENSG00000117305	2	blue
ENSG00000117308	2	blue
ENSG00000117318	4	yellow
ENSG00000117322	6	red
ENSG00000117335	8	pink
ENSG00000117360	1	turquoise
ENSG00000117362	2	blue
ENSG00000117385	1	turquoise
ENSG00000117394	1	turquoise
ENSG00000117395	8	pink
ENSG00000117399	1	turquoise
ENSG00000117407	14	cyan
ENSG00000117408	2	blue
ENSG00000117410	2	blue
ENSG00000117411	1	turquoise
ENSG00000117419	21	darkred
ENSG00000117425	1	turquoise
ENSG00000117448	2	blue
ENSG00000117450	3	brown
ENSG00000117461	12	tan
ENSG00000117472	2	blue
ENSG00000117475	2	blue
ENSG00000117479	1	turquoise
ENSG00000117480	22	darkgreen
ENSG00000117481	10	purple
ENSG00000117500	4	yellow
ENSG00000117505	4	yellow
ENSG00000117519	17	grey60
ENSG00000117523	1	turquoise
ENSG00000117525	9	magenta
ENSG00000117528	4	yellow
ENSG00000117533	13	salmon
ENSG00000117543	3	brown
ENSG00000117560	12	tan
ENSG00000117569	1	turquoise
ENSG00000117586	1	turquoise
ENSG00000117592	2	blue
ENSG00000117593	26	darkorange
ENSG00000117594	1	turquoise
ENSG00000117595	4	yellow
ENSG00000117597	1	turquoise
ENSG00000117602	1	turquoise
ENSG00000117614	2	blue
ENSG00000117616	5	green
ENSG00000117620	4	yellow
ENSG00000117625	12	tan
ENSG00000117632	8	pink
ENSG00000117640	2	blue
ENSG00000117643	9	magenta
ENSG00000117650	1	turquoise
ENSG00000117676	4	yellow
ENSG00000117682	4	yellow
ENSG00000117691	3	brown
ENSG00000117697	3	brown
ENSG00000117707	1	turquoise
ENSG00000117713	1	turquoise
ENSG00000117724	1	turquoise
ENSG00000117748	3	brown
ENSG00000117751	3	brown
ENSG00000117758	2	blue
ENSG00000117791	4	yellow
ENSG00000117834	22	darkgreen
ENSG00000117859	2	blue
ENSG00000117862	3	brown
ENSG00000117868	24	darkgrey
ENSG00000117877	1	turquoise
ENSG00000117899	2	blue
ENSG00000117906	8	pink
ENSG00000117983	12	tan
ENSG00000117984	4	yellow
ENSG00000118004	2	blue
ENSG00000118007	2	blue
ENSG00000118046	14	cyan
ENSG00000118058	1	turquoise
ENSG00000118094	21	darkred
ENSG00000118096	3	brown
ENSG00000118162	1	turquoise
ENSG00000118181	3	brown
ENSG00000118193	1	turquoise
ENSG00000118197	3	brown
ENSG00000118200	1	turquoise
ENSG00000118217	2	blue
ENSG00000118242	3	brown
ENSG00000118246	8	pink
ENSG00000118257	1	turquoise
ENSG00000118260	24	darkgrey
ENSG00000118263	1	turquoise
ENSG00000118276	1	turquoise
ENSG00000118292	2	blue
ENSG00000118308	4	yellow
ENSG00000118322	4	yellow
ENSG00000118363	3	brown
ENSG00000118369	1	turquoise
ENSG00000118402	11	greenyellow
ENSG00000118407	1	turquoise
ENSG00000118412	1	turquoise
ENSG00000118418	3	brown
ENSG00000118420	1	turquoise
ENSG00000118432	6	red
ENSG00000118454	4	yellow
ENSG00000118473	1	turquoise
ENSG00000118482	17	grey60
ENSG00000118492	13	salmon
ENSG00000118495	24	darkgrey
ENSG00000118496	1	turquoise
ENSG00000118503	7	black
ENSG00000118507	2	blue
ENSG00000118508	2	blue
ENSG00000118513	8	pink
ENSG00000118515	4	yellow
ENSG00000118518	8	pink
ENSG00000118523	1	turquoise
ENSG00000118526	5	green
ENSG00000118557	1	turquoise
ENSG00000118564	2	blue
ENSG00000118579	15	midnightblue
ENSG00000118596	9	magenta
ENSG00000118600	3	brown
ENSG00000118620	1	turquoise
ENSG00000118640	2	blue
ENSG00000118655	1	turquoise
ENSG00000118680	2	blue
ENSG00000118689	7	black
ENSG00000118690	11	greenyellow
ENSG00000118705	1	turquoise
ENSG00000118707	1	turquoise
ENSG00000118762	1	turquoise
ENSG00000118777	4	yellow
ENSG00000118785	1	turquoise
ENSG00000118804	2	blue
ENSG00000118816	16	lightcyan
ENSG00000118849	5	green
ENSG00000118855	2	blue
ENSG00000118873	1	turquoise
ENSG00000118894	3	brown
ENSG00000118898	1	turquoise
ENSG00000118900	7	black
ENSG00000118922	17	grey60
ENSG00000118939	11	greenyellow
ENSG00000118946	1	turquoise
ENSG00000118960	3	brown
ENSG00000118961	8	pink
ENSG00000118965	1	turquoise
ENSG00000118971	1	turquoise
ENSG00000118985	12	tan
ENSG00000118997	14	cyan
ENSG00000119004	4	yellow
ENSG00000119013	2	blue
ENSG00000119041	1	turquoise
ENSG00000119042	19	lightyellow
ENSG00000119048	2	blue
ENSG00000119121	2	blue
ENSG00000119125	4	yellow
ENSG00000119138	4	yellow
ENSG00000119139	7	black
ENSG00000119147	2	blue
ENSG00000119185	3	brown
ENSG00000119203	1	turquoise
ENSG00000119227	2	blue
ENSG00000119231	1	turquoise
ENSG00000119242	7	black
ENSG00000119280	1	turquoise
ENSG00000119285	1	turquoise
ENSG00000119314	1	turquoise
ENSG00000119318	1	turquoise
ENSG00000119321	6	red
ENSG00000119326	26	darkorange
ENSG00000119328	3	brown
ENSG00000119333	8	pink
ENSG00000119335	1	turquoise
ENSG00000119383	8	pink
ENSG00000119392	13	salmon
ENSG00000119396	4	yellow
ENSG00000119397	1	turquoise
ENSG00000119401	1	turquoise
ENSG00000119402	1	turquoise
ENSG00000119403	1	turquoise
ENSG00000119408	1	turquoise
ENSG00000119411	3	brown
ENSG00000119414	2	blue
ENSG00000119421	3	brown
ENSG00000119431	2	blue
ENSG00000119446	3	brown
ENSG00000119471	17	grey60
ENSG00000119487	8	pink
ENSG00000119508	1	turquoise
ENSG00000119509	1	turquoise
ENSG00000119514	4	yellow
ENSG00000119522	6	red
ENSG00000119523	3	brown
ENSG00000119535	1	turquoise
ENSG00000119537	1	turquoise
ENSG00000119541	4	yellow
ENSG00000119547	1	turquoise
ENSG00000119559	3	brown
ENSG00000119574	1	turquoise
ENSG00000119596	1	turquoise
ENSG00000119599	3	brown
ENSG00000119616	8	pink
ENSG00000119630	1	turquoise
ENSG00000119632	3	brown
ENSG00000119636	2	blue
ENSG00000119638	1	turquoise
ENSG00000119640	3	brown
ENSG00000119650	3	brown
ENSG00000119655	2	blue
ENSG00000119661	1	turquoise
ENSG00000119669	1	turquoise
ENSG00000119673	2	blue
ENSG00000119681	1	turquoise
ENSG00000119682	2	blue
ENSG00000119684	1	turquoise
ENSG00000119685	12	tan
ENSG00000119686	4	yellow
ENSG00000119688	5	green
ENSG00000119689	4	yellow
ENSG00000119699	1	turquoise
ENSG00000119703	2	blue
ENSG00000119705	3	brown
ENSG00000119707	1	turquoise
ENSG00000119711	12	tan
ENSG00000119714	1	turquoise
ENSG00000119718	2	blue
ENSG00000119720	6	red
ENSG00000119723	2	blue
ENSG00000119725	3	brown
ENSG00000119729	1	turquoise
ENSG00000119737	9	magenta
ENSG00000119760	23	darkturquoise
ENSG00000119771	1	turquoise
ENSG00000119772	1	turquoise
ENSG00000119777	1	turquoise
ENSG00000119778	1	turquoise
